Green Tea,#carb,80,17,1,https://ibb.co/HFSgNky,https://i.ibb.co/C1c0JTy/Iced-Matcha-Latte2.jpg
Jasmine Tea,#carb,100,17,1,https://ibb.co/vLbdVP1,https://i.ibb.co/mhmybqJ/iCanteen.jpg
Lemon Tea,#carb,50,17,1,https://ibb.co/Y7yXFGs,https://i.ibb.co/fYn9z7w/lemon-tea-1400x.jpg
Milk Tea,#carb,120,17,1,https://ibb.co/LPy9dPQ,https://i.ibb.co/FW184Ws/milktea.jpg
Ovaltine,#carb,120,17,1,https://ibb.co/qrgBc05,https://i.ibb.co/XC5XKy8/iced-hot-cocoa-recipe-766077-hero-5c50875946e0fb0001dde18f.jpg
Thai Tea,#carb,120,17,1,https://ibb.co/LPy9dPQ,https://i.ibb.co/FW184Ws/milktea.jpg
Coffee,#carb,100,17,1,https://ibb.co/rHmGksB,https://i.ibb.co/qpdMB5H/Mask-Group-15.jpg
Pork Noodle,#carb #vegatable,450,30,2,https://ibb.co/B2Lm1vp,https://i.ibb.co/WvnQT7h/store2.jpg
Chicken Noodle,#carb #vegatable,400,30,2,https://ibb.co/B2Lm1vp,https://i.ibb.co/WvnQT7h/store2.jpg
Yentafo,#carb ,400,30,2,https://ibb.co/vLbdVP1,https://i.ibb.co/mhmybqJ/iCanteen.jpg
Roasted Red Pork with Rice,#carb ,400,35,2,https://ibb.co/vLbdVP1,https://i.ibb.co/mhmybqJ/iCanteen.jpg
Crispy Pork with Rice,#carb ,450,35,2,https://ibb.co/vLbdVP1,https://i.ibb.co/mhmybqJ/iCanteen.jpg
Full Option Tom Yum Noodle,#carb ,650,60,2,https://ibb.co/vLbdVP1,https://i.ibb.co/mhmybqJ/iCanteen.jpg
Sour and Spicy Pork,#healthy #vegetable,200,35,2,https://ibb.co/8z7kL5s,https://i.ibb.co/k3SZs8B/Pork-with-Lemon-spicy-sweet-sauce.jpg
Pork and Offal Soup,#healthy #vegetable,200,35,2,https://ibb.co/vLbdVP1,https://i.ibb.co/mhmybqJ/iCanteen.jpg
Fried Chicken with Sticky Rice,#carb #fried,400,35,3,https://ibb.co/zZWGtcF,https://i.ibb.co/WfNgR90/store3.jpg
Grilled Pork Shoulder with Sticky Rice,#carb,380,35,3,https://ibb.co/vLbdVP1,https://i.ibb.co/mhmybqJ/iCanteen.jpg
Papaya Salad,#vegetable #healthy,100,30,3,https://ibb.co/vLbdVP1,https://i.ibb.co/mhmybqJ/iCanteen.jpg
Fried Vegatable Spicy Salad ,#vegetable #fried,220,30,3,https://ibb.co/vLbdVP1,https://i.ibb.co/mhmybqJ/iCanteen.jpg
Laab Salmon,#healthy,300,35,3,https://ibb.co/jfKFCmL,https://i.ibb.co/T2X5Q6H/JAEW-02-1024x769.jpg
Fried Thai Sausage,#fried,300,20,3,https://ibb.co/LtSL2sy,https://i.ibb.co/J7nfMST/59bf58c0396c4.jpg
Fried Wonton,#fried,280,15,3,https://ibb.co/vLbdVP1,https://i.ibb.co/mhmybqJ/iCanteen.jpg
Laab Pork,#healthy,250,30,3,https://ibb.co/vLbdVP1,https://i.ibb.co/mhmybqJ/iCanteen.jpg
Garlic Pork and Scrambled Egg with Rice,#fried #carb,600,50,4,https://ibb.co/DQyxTFB,https://i.ibb.co/BBxXFJh/Nongrimkong04-1170x780-qa-94.jpg
Garlic Chilli Fried Chicken with Rice,#fried #carb,650,40,4,https://ibb.co/vLbdVP1,https://i.ibb.co/mhmybqJ/iCanteen.jpg
Curry and Fried Chicken with Rice,#fried #carb,650,40,4,https://ibb.co/vLbdVP1,https://i.ibb.co/mhmybqJ/iCanteen.jpg
Crispy Pork Basil sauce and Fried Egg with Rice,#fried #carb,600,45,4,https://ibb.co/vLbdVP1,https://i.ibb.co/mhmybqJ/iCanteen.jpg
Fried Fish Garlic with Rice,#fried #carb,500,35,4,https://ibb.co/4Y1FR5Q,https://i.ibb.co/LJN0d2G/Bangsilog-3.jpg
Pork Macaroni,#carb,450,35,4,https://ibb.co/gF6pCdd,https://i.ibb.co/FqnMtXX/4583751-orig.jpg
Dry Tom Yum Stir Fried Noodle,#carb,550,40,4,https://ibb.co/vLbdVP1,https://i.ibb.co/mhmybqJ/iCanteen.jpg
Stir Fried Chicken and Cashew with Rice,#fried #carb,550,40,4,https://ibb.co/vLbdVP1,https://i.ibb.co/mhmybqJ/iCanteen.jpg
Fish Sauce Fried Chicken Wing with Rice,#fried #carb,550,40,4,https://ibb.co/vLbdVP1,https://i.ibb.co/mhmybqJ/iCanteen.jpg
Vidva,#fried ,700,80,5,https://ibb.co/mC07KFc,https://i.ibb.co/SXcpg73/1636898-orig.jpg
Mix Grilled Chicken,#fried ,500,60,5,https://ibb.co/vLbdVP1,https://i.ibb.co/mhmybqJ/iCanteen.jpg
Fried Fish,#fried ,500,50,5,https://ibb.co/vLbdVP1,https://i.ibb.co/mhmybqJ/iCanteen.jpg
Pork Loin Black Pepper Sauce,#fried ,450,40,5,https://ibb.co/vLbdVP1,https://i.ibb.co/mhmybqJ/iCanteen.jpg
Beef Steak ,#fried ,450,50,5,https://ibb.co/PZTV05N,https://i.ibb.co/5WYJw56/c116a27a9fd6c35855cd80573a0f2187.jpg
Pork Cordon Bleu,#fried ,700,60,5,https://ibb.co/vLbdVP1,https://i.ibb.co/mhmybqJ/iCanteen.jpg
